	load	match	size	start	end
AML_fma.owl/mouse.owl	2	3	1044	15:51:37 2022/02/03	15:51:42 2022/02/03
AML_kg1.owl/ncit.owl	4	8	3471	15:52:52 2022/02/03	15:53:05 2022/02/03
